"filename", "language", "Vue", "TypeScript", "JavaScript", "SCSS", "Markdown", "comment", "blank", "total"
"/Users/peaker/dev/solar-finance/src/composables/ui/useTruncateText.ts", "TypeScript", 0, 65, 0, 0, 0, 49, 16, 130
"/Users/peaker/dev/solar-finance/src/composables/useDateFilter.ts", "TypeScript", 0, 382, 0, 0, 0, 69, 83, 534
"/Users/peaker/dev/solar-finance/src/constants/transactionTypes.ts", "TypeScript", 0, 26, 0, 0, 0, 6, 6, 38
"/Users/peaker/dev/solar-finance/src/layouts/ConsoleLayout.vue", "Vue", 70, 0, 0, 0, 0, 3, 9, 82
"/Users/peaker/dev/solar-finance/src/layouts/EmptyLayout.vue", "Vue", 15, 0, 0, 0, 0, 0, 2, 17
"/Users/peaker/dev/solar-finance/src/layouts/IosLayout.vue", "Vue", 157, 0, 0, 0, 0, 1, 23, 181
"/Users/peaker/dev/solar-finance/src/main.ts", "TypeScript", 0, 30, 0, 0, 0, 9, 9, 48
"/Users/peaker/dev/solar-finance/src/router/index.ts", "TypeScript", 0, 171, 0, 0, 0, 17, 10, 198
"/Users/peaker/dev/solar-finance/src/services/BaseCrudService.ts", "TypeScript", 0, 54, 0, 0, 0, 22, 11, 87
"/Users/peaker/dev/solar-finance/src/services/api/ApiService.ts", "TypeScript", 0, 6, 0, 0, 0, 1, 4, 11
"/Users/peaker/dev/solar-finance/src/services/api/LocalStorageApiService.ts", "TypeScript", 0, 76, 0, 0, 0, 30, 32, 138
"/Users/peaker/dev/solar-finance/src/services/system/AppInitService.ts", "TypeScript", 0, 50, 0, 0, 0, 21, 12, 83
"/Users/peaker/dev/solar-finance/src/services/system/MessageService.ts", "TypeScript", 0, 54, 0, 0, 0, 33, 11, 98
"/Users/peaker/dev/solar-finance/src/stores/account/accountService.ts", "TypeScript", 0, 90, 0, 0, 0, 27, 13, 130
"/Users/peaker/dev/solar-finance/src/stores/account/accountStore.ts", "TypeScript", 0, 412, 0, 0, 0, 126, 101, 639
"/Users/peaker/dev/solar-finance/src/stores/account/defaultAccounts.ts", "TypeScript", 0, 117, 0, 0, 0, 6, 0, 123
"/Users/peaker/dev/solar-finance/src/stores/account/index.ts", "TypeScript", 0, 4, 0, 0, 0, 2, 1, 7
"/Users/peaker/dev/solar-finance/src/stores/account/types.ts", "TypeScript", 0, 20, 0, 0, 0, 3, 4, 27
"/Users/peaker/dev/solar-finance/src/stores/book/bookService.ts", "TypeScript", 0, 77, 0, 0, 0, 24, 12, 113
"/Users/peaker/dev/solar-finance/src/stores/book/bookStore.ts", "TypeScript", 0, 129, 0, 0, 0, 32, 26, 187
"/Users/peaker/dev/solar-finance/src/stores/book/defaultBooks.ts", "TypeScript", 0, 43, 0, 0, 0, 5, 1, 49
"/Users/peaker/dev/solar-finance/src/stores/book/index.ts", "TypeScript", 0, 4, 0, 0, 0, 2, 1, 7
